Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
4.0,70,14.5,54.0,overcast,991.48,0,Winter,4.0,inland,Snowy
41.0,97,32.5,91.0,partly cloudy,1001.73,1,Winter,3.5,coastal,Rainy
16.0,98,19.5,92.0,overcast,1007.21,3,Summer,4.5,coastal,Rainy
1.0,76,1.5,79.0,overcast,983.45,0,Winter,2.5,inland,Snowy
33.0,78,12.5,55.0,overcast,1009.8,1,Summer,4.5,coastal,Rainy
30.0,64,14.0,25.0,overcast,1005.25,3,Winter,5.5,inland,Cloudy
23.0,67,17.5,92.0,overcast,997.5,0,Summer,4.0,coastal,Rainy
30.0,81,10.5,75.0,overcast,1009.64,0,Autumn,4.0,mountain,Rainy
30.0,87,15.5,70.0,overcast,993.64,1,Summer,4.0,coastal,Rainy
2.0,98,13.5,93.0,partly cloudy,987.75,1,Winter,4.5,inland,Snowy
26.0,79,9.5,14.0,partly cloudy,1010.91,2,Summer,6.5,inland,Cloudy
-11.0,91,9.0,74.0,overcast,988.61,4,Winter,2.5,mountain,Snowy
3.0,81,18.5,59.0,overcast,985.54,1,Winter,3.0,mountain,Snowy
14.0,76,17.5,66.0,overcast,1009.05,0,Winter,2.0,mountain,Rainy
13.0,66,13.5,58.0,overcast,1008.7,1,Autumn,1.5,coastal,Rainy
27.0,97,9.5,51.0,overcast,1005.04,1,Summer,4.5,coastal,Rainy
10.0,98,14.0,97.0,overcast,1007.79,1,Spring,4.5,inland,Rainy
11.0,80,8.0,93.0,overcast,1003.54,3,Spring,1.0,mountain,Rainy
29.0,79,19.5,93.0,partly cloudy,1000.65,3,Autumn,5.0,coastal,Rainy
-10.0,75,8.5,94.0,overcast,990.03,0,Winter,4.0,mountain,Snowy
-9.0,96,19.5,67.0,overcast,992.97,1,Winter,1.5,mountain,Snowy
31.0,60,3.0,47.0,partly cloudy,1012.14,4,Summer,6.5,mountain,Cloudy
30.0,53,11.5,41.0,overcast,1010.52,3,Winter,5.5,coastal,Cloudy
-6.0,78,5.0,64.0,overcast,986.38,1,Winter,1.5,inland,Snowy
34.0,52,7.0,13.0,overcast,1009.3,1,Summer,8.0,coastal,Cloudy
42.0,83,22.0,95.0,overcast,1008.5,11,Winter,6.0,mountain,Cloudy
19.0,31,9.5,82.0,cloudy,985.1,3,Autumn,6.5,inland,Snowy
33.0,72,11.0,53.0,partly cloudy,997.11,2,Autumn,3.0,coastal,Rainy
-4.0,80,17.5,74.0,overcast,985.36,1,Winter,3.0,mountain,Snowy
33.0,64,10.0,26.0,partly cloudy,1007.79,2,Winter,7.0,mountain,Cloudy
-18.0,87,22.0,94.0,overcast,997.7,12,Winter,2.5,mountain,Snowy
-13.0,100,6.0,82.0,overcast,991.35,3,Winter,0.0,mountain,Snowy
-2.0,87,3.5,59.0,overcast,998.78,1,Winter,2.0,mountain,Snowy
15.0,76,9.5,19.0,partly cloudy,1003.2,2,Winter,8.0,mountain,Cloudy
-2.0,72,6.5,96.0,overcast,993.53,0,Winter,3.0,inland,Snowy
27.0,69,13.0,41.0,overcast,1009.5,2,Spring,7.5,inland,Cloudy
17.0,65,12.5,34.0,partly cloudy,1009.68,4,Summer,5.5,coastal,Cloudy
15.0,64,6.5,21.0,overcast,1003.55,4,Winter,6.0,coastal,Cloudy
10.0,67,8.0,47.0,overcast,1007.42,1,Summer,6.0,mountain,Cloudy
33.0,51,0.5,27.0,overcast,1009.18,3,Autumn,5.5,coastal,Cloudy
-1.0,72,0.0,54.0,partly cloudy,984.01,0,Winter,3.5,mountain,Snowy
14.0,76,11.0,35.0,partly cloudy,1009.43,1,Autumn,6.0,coastal,Cloudy
-5.0,81,18.0,88.0,overcast,988.33,1,Winter,2.5,mountain,Snowy
30.0,55,5.0,31.0,partly cloudy,1004.15,2,Autumn,6.5,mountain,Cloudy
23.0,60,12.0,44.0,overcast,1007.16,4,Spring,7.5,inland,Cloudy
40.0,54,5.5,1.0,clear,1012.63,10,Spring,10.0,mountain,Sunny
-2.0,82,17.5,52.0,overcast,990.33,0,Winter,4.5,inland,Snowy
3.0,96,16.0,80.0,overcast,995.24,1,Winter,4.0,inland,Snowy
21.0,99,16.0,60.0,partly cloudy,1011.58,2,Winter,1.0,inland,Rainy
30.0,74,10.5,28.0,overcast,1004.31,4,Autumn,6.5,mountain,Cloudy
33.0,96,6.5,95.0,overcast,1003.49,0,Summer,3.5,mountain,Rainy
21.0,77,10.5,26.0,partly cloudy,1008.89,1,Autumn,8.5,mountain,Cloudy
-2.0,74,18.5,95.0,overcast,980.67,1,Winter,2.5,mountain,Snowy
-1.0,97,8.5,57.0,overcast,990.34,1,Winter,3.0,mountain,Snowy
21.0,71,13.0,40.0,partly cloudy,1008.96,3,Winter,8.5,coastal,Cloudy
1.0,96,4.0,54.0,overcast,992.56,0,Winter,4.5,mountain,Snowy
-1.0,81,7.0,59.0,overcast,984.68,1,Winter,1.0,inland,Snowy
-7.0,89,4.5,57.0,overcast,980.41,0,Winter,2.0,inland,Snowy
16.0,84,18.5,54.0,overcast,996.12,0,Spring,3.0,coastal,Rainy
-5.0,66,6.5,75.0,overcast,994.79,0,Winter,3.0,inland,Snowy
17.0,72,12.0,46.0,partly cloudy,990.66,10,Spring,20.0,inland,Sunny
27.0,60,8.0,22.0,overcast,1002.22,2,Summer,6.0,mountain,Cloudy
26.0,94,12.5,66.0,overcast,994.06,0,Spring,4.5,mountain,Rainy
32.0,60,19.5,59.0,overcast,1012.87,3,Winter,4.0,coastal,Rainy
21.0,60,17.5,62.0,partly cloudy,1010.93,0,Spring,3.5,mountain,Rainy
3.0,99,2.5,72.0,overcast,986.55,0,Winter,3.5,inland,Snowy
-8.0,75,1.0,93.0,overcast,984.39,0,Winter,4.0,mountain,Snowy
24.0,77,14.0,40.0,partly cloudy,1006.57,2,Summer,7.0,coastal,Cloudy
27.0,70,6.5,91.0,partly cloudy,1008.73,2,Winter,3.0,mountain,Rainy
-8.0,60,19.0,55.0,partly cloudy,995.01,1,Winter,2.0,inland,Snowy
15.0,65,0.0,49.0,partly cloudy,1011.26,1,Summer,8.5,coastal,Cloudy
31.0,86,13.5,78.0,overcast,999.25,3,Winter,4.0,inland,Rainy
24.0,58,10.0,17.0,partly cloudy,1009.9,4,Autumn,6.5,inland,Cloudy
-10.0,91,12.0,71.0,partly cloudy,999.57,1,Winter,2.0,inland,Snowy
23.0,43,6.5,3.0,partly cloudy,1012.05,11,Autumn,6.5,coastal,Sunny
21.0,52,6.0,43.0,overcast,1009.87,2,Spring,6.0,coastal,Cloudy
19.0,70,14.5,41.0,partly cloudy,1010.39,4,Winter,7.5,coastal,Cloudy
-10.0,95,1.5,77.0,overcast,998.66,1,Winter,2.0,inland,Snowy
-8.0,96,13.5,61.0,overcast,995.13,1,Winter,2.0,mountain,Snowy
24.0,52,9.0,29.0,partly cloudy,1007.84,1,Autumn,8.0,mountain,Cloudy
-6.0,92,17.5,84.0,partly cloudy,999.62,0,Winter,4.0,mountain,Snowy
33.0,70,12.0,66.0,overcast,998.66,3,Summer,3.5,mountain,Rainy
31.0,51,6.5,17.0,clear,1010.32,11,Autumn,10.0,coastal,Sunny
30.0,71,6.0,21.0,partly cloudy,1012.64,1,Winter,5.5,mountain,Cloudy
-6.0,60,10.0,71.0,overcast,987.38,0,Winter,1.5,mountain,Snowy
-1.0,63,13.5,92.0,overcast,998.36,1,Winter,1.5,inland,Snowy
2.0,65,16.5,51.0,overcast,993.38,0,Winter,4.0,inland,Snowy
31.0,70,14.0,13.0,partly cloudy,1011.12,4,Summer,6.5,mountain,Cloudy
-10.0,62,14.0,69.0,overcast,994.79,0,Winter,3.0,inland,Snowy
-1.0,78,11.0,79.0,partly cloudy,995.07,0,Winter,1.5,mountain,Snowy
-8.0,63,15.0,90.0,partly cloudy,996.12,1,Winter,1.5,inland,Snowy
-5.0,82,14.5,66.0,overcast,994.35,1,Winter,1.5,inland,Snowy
4.0,96,22.0,71.0,overcast,981.34,6,Winter,5.5,inland,Snowy
34.0,98,20.0,65.0,overcast,1000.76,3,Summer,1.5,mountain,Rainy
10.0,54,9.0,25.0,partly cloudy,1000.79,4,Spring,8.0,mountain,Cloudy
1.0,78,6.0,69.0,overcast,987.74,1,Winter,4.0,mountain,Snowy
4.0,70,1.0,61.0,overcast,992.37,1,Winter,2.0,mountain,Snowy
-4.0,87,14.5,68.0,overcast,992.78,0,Winter,4.0,mountain,Snowy
20.0,67,15.0,37.0,partly cloudy,1010.43,1,Winter,6.0,coastal,Cloudy
26.0,86,13.0,55.0,overcast,1005.33,1,Autumn,1.0,mountain,Rainy
-10.0,84,5.5,92.0,overcast,989.52,0,Winter,1.0,inland,Snowy
30.0,50,7.0,25.0,overcast,1007.2,4,Winter,6.5,inland,Cloudy
-6.0,69,8.5,94.0,overcast,996.02,0,Winter,1.5,inland,Snowy
-10.0,72,20.0,87.0,overcast,992.99,0,Winter,2.5,inland,Snowy
27.0,66,11.5,28.0,overcast,1003.18,1,Autumn,6.0,inland,Cloudy
-5.0,61,8.5,71.0,overcast,987.2,0,Winter,2.0,inland,Snowy
35.0,55,9.0,9.0,partly cloudy,1012.58,9,Summer,8.0,inland,Sunny
30.0,77,19.0,97.0,partly cloudy,1005.01,0,Winter,2.0,coastal,Rainy
15.0,72,1.0,20.0,partly cloudy,1002.98,1,Winter,9.0,coastal,Cloudy
11.0,95,11.5,91.0,overcast,996.78,1,Winter,1.5,coastal,Rainy
-5.0,70,25.0,70.0,overcast,988.49,12,Winter,4.0,inland,Snowy
12.0,90,18.5,85.0,overcast,1000.61,0,Spring,3.5,inland,Rainy
-15.0,93,3.0,89.0,overcast,990.19,14,Winter,3.5,mountain,Snowy
24.0,84,12.5,76.0,partly cloudy,995.09,0,Autumn,1.5,mountain,Rainy
19.0,62,14.0,63.0,partly cloudy,1002.82,0,Spring,1.5,coastal,Rainy
11.0,96,7.5,90.0,partly cloudy,998.15,3,Summer,1.5,coastal,Rainy
-2.0,99,31.5,89.0,overcast,991.12,4,Winter,0.5,mountain,Snowy
18.0,51,9.0,17.0,overcast,1012.81,4,Autumn,8.5,inland,Cloudy
0.0,60,18.0,74.0,overcast,986.18,0,Winter,4.0,inland,Snowy
1.0,67,3.0,76.0,partly cloudy,986.57,0,Winter,4.0,mountain,Snowy
15.0,54,10.0,15.0,overcast,1008.24,3,Summer,5.0,mountain,Cloudy
22.0,65,6.0,14.0,partly cloudy,1010.17,8,Autumn,7.0,coastal,Sunny
19.0,70,26.5,100.0,overcast,1012.31,9,Summer,2.0,inland,Rainy
11.0,68,9.0,52.0,overcast,990.06,0,Spring,1.5,inland,Rainy
10.0,78,7.5,94.0,cloudy,997.8,5,Summer,8.5,inland,Snowy
-4.0,93,0.5,58.0,overcast,999.16,0,Winter,3.5,mountain,Snowy
22.0,65,10.0,37.0,partly cloudy,1004.21,4,Spring,6.0,inland,Cloudy
23.0,62,10.0,20.0,overcast,1003.85,3,Winter,9.0,mountain,Cloudy
11.0,75,14.5,36.0,overcast,1002.81,4,Summer,8.0,coastal,Cloudy
1.0,88,0.5,60.0,overcast,985.22,0,Winter,2.5,mountain,Snowy
26.0,64,2.5,26.0,partly cloudy,1004.98,4,Summer,7.5,mountain,Cloudy
2.0,66,4.0,54.0,overcast,992.55,0,Winter,3.5,inland,Snowy
1.0,61,13.5,56.0,overcast,994.3,0,Winter,1.0,mountain,Snowy
3.0,85,17.5,72.0,overcast,995.95,0,Winter,2.0,inland,Snowy
29.0,92,12.5,82.0,overcast,1010.49,2,Summer,1.5,inland,Rainy
23.0,77,9.5,35.0,partly cloudy,1005.71,2,Autumn,6.5,mountain,Cloudy
22.0,63,14.5,93.0,overcast,997.29,0,Spring,3.0,mountain,Rainy
17.0,94,18.0,92.0,overcast,994.77,2,Autumn,2.5,inland,Rainy
2.0,77,7.0,77.0,partly cloudy,988.05,0,Winter,1.5,mountain,Snowy
41.0,66,5.5,6.0,clear,1012.98,9,Summer,8.0,mountain,Sunny
18.0,64,16.5,92.0,overcast,990.52,0,Winter,3.0,coastal,Rainy
16.0,88,12.5,53.0,overcast,994.58,2,Spring,1.5,coastal,Rainy
-8.0,61,2.0,80.0,overcast,998.46,0,Winter,1.0,mountain,Snowy
27.0,81,19.5,79.0,overcast,1006.48,2,Autumn,4.0,mountain,Rainy
-5.0,93,16.0,74.0,overcast,981.3,1,Winter,4.5,mountain,Snowy
43.0,100,30.0,85.0,overcast,1011.72,10,Autumn,1.5,inland,Rainy
32.0,78,9.5,15.0,overcast,1005.07,4,Spring,7.0,mountain,Cloudy
25.0,39,10.5,48.0,overcast,992.95,0,Spring,10.0,mountain,Cloudy
31.0,69,3.5,12.0,partly cloudy,1003.66,1,Autumn,7.0,coastal,Cloudy
23.0,54,6.0,27.0,partly cloudy,1010.01,1,Summer,5.5,coastal,Cloudy
25.0,74,9.5,47.0,partly cloudy,1002.32,1,Spring,9.0,inland,Cloudy
33.0,77,5.0,47.0,partly cloudy,1006.27,3,Autumn,5.0,coastal,Cloudy
-2.0,92,19.5,91.0,overcast,988.06,3,Winter,5.0,mountain,Snowy
35.0,67,5.0,14.0,clear,1010.4,10,Spring,7.5,coastal,Sunny
-2.0,62,18.5,52.0,overcast,993.0,1,Winter,2.5,mountain,Snowy
-6.0,87,7.0,98.0,partly cloudy,993.47,0,Winter,2.0,mountain,Snowy
19.0,76,9.5,89.0,overcast,992.8,0,Autumn,4.5,mountain,Rainy
-9.0,65,7.0,67.0,overcast,990.43,1,Winter,4.0,inland,Snowy
24.0,89,12.5,69.0,partly cloudy,995.3,3,Winter,3.5,mountain,Rainy
21.0,64,8.5,80.0,overcast,1008.45,0,Spring,2.0,inland,Rainy
-4.0,97,11.0,80.0,partly cloudy,990.98,0,Winter,5.0,inland,Snowy
21.0,97,12.0,61.0,overcast,1006.8,2,Spring,2.5,mountain,Rainy
-1.0,80,3.0,74.0,overcast,992.38,1,Winter,2.0,mountain,Snowy
-7.0,94,16.5,86.0,overcast,995.55,1,Winter,3.5,inland,Snowy
32.0,58,2.0,20.0,partly cloudy,1000.98,4,Autumn,8.0,inland,Cloudy
1.0,73,7.5,91.0,overcast,997.63,1,Winter,1.0,inland,Snowy
30.0,69,15.5,91.0,overcast,1005.42,2,Winter,2.0,coastal,Rainy
-2.0,64,14.0,63.0,partly cloudy,994.6,0,Winter,4.0,mountain,Snowy
-5.0,68,9.5,83.0,overcast,991.85,0,Winter,3.0,mountain,Snowy
26.0,67,12.0,33.0,overcast,1008.86,2,Winter,8.0,inland,Cloudy
15.0,71,11.5,72.0,partly cloudy,1007.88,3,Summer,5.0,coastal,Rainy
31.0,78,15.0,11.0,partly cloudy,1010.88,4,Summer,5.5,coastal,Cloudy
20.0,87,17.5,57.0,partly cloudy,1007.44,0,Summer,4.5,mountain,Rainy
32.0,60,3.5,30.0,partly cloudy,1000.76,1,Summer,7.5,coastal,Cloudy
32.0,61,6.0,97.0,overcast,1000.84,0,Spring,3.0,inland,Rainy
14.0,89,14.0,91.0,overcast,998.14,0,Winter,3.0,inland,Rainy
11.0,99,17.5,56.0,overcast,994.66,0,Summer,4.5,inland,Rainy
1.0,65,4.5,73.0,overcast,983.23,1,Winter,2.0,inland,Snowy
4.0,64,19.0,52.0,overcast,986.96,1,Winter,3.0,mountain,Snowy
15.0,76,1.0,31.0,partly cloudy,1006.98,4,Spring,7.0,coastal,Cloudy
27.0,63,1.5,31.0,partly cloudy,1011.62,4,Spring,6.0,mountain,Cloudy
32.0,78,8.0,85.0,overcast,1006.8,2,Winter,2.0,coastal,Rainy
14.0,81,10.0,76.0,overcast,995.86,0,Winter,4.5,mountain,Rainy
2.0,81,17.5,58.0,partly cloudy,982.65,1,Winter,5.0,inland,Snowy
29.0,91,13.5,100.0,partly cloudy,1010.07,0,Summer,1.0,inland,Rainy
3.0,94,6.0,67.0,partly cloudy,987.69,1,Winter,3.5,mountain,Snowy
21.0,79,11.5,13.0,partly cloudy,1009.44,3,Winter,6.5,inland,Cloudy
-4.0,60,14.0,87.0,overcast,996.73,1,Winter,2.5,mountain,Snowy
-5.0,94,19.5,83.0,overcast,991.49,0,Winter,1.5,inland,Snowy
28.0,93,17.5,53.0,overcast,992.26,3,Summer,1.5,coastal,Rainy
-8.0,96,16.5,68.0,overcast,998.65,0,Winter,3.0,inland,Snowy
34.0,55,2.5,35.0,overcast,1002.57,1,Spring,9.0,mountain,Cloudy
10.0,90,6.0,54.0,overcast,994.68,0,Summer,3.0,inland,Rainy
4.0,50,8.5,13.0,partly cloudy,1012.72,10,Summer,11.0,inland,Sunny
24.0,58,7.5,29.0,overcast,1011.97,3,Spring,7.5,coastal,Cloudy
0.0,87,19.0,79.0,overcast,988.32,0,Winter,4.0,inland,Snowy
23.0,89,19.5,52.0,overcast,992.98,3,Spring,3.0,inland,Rainy
24.0,78,7.0,27.0,partly cloudy,1004.99,4,Summer,6.5,coastal,Cloudy
-10.0,86,11.0,69.0,overcast,999.19,0,Winter,1.5,inland,Snowy
14.0,66,4.0,29.0,partly cloudy,1009.07,1,Spring,6.5,inland,Cloudy
42.0,35,6.0,19.0,clear,1010.85,11,Autumn,8.0,mountain,Sunny
2.0,72,12.5,90.0,overcast,998.38,1,Winter,2.5,mountain,Snowy
-4.0,68,17.5,73.0,overcast,982.14,1,Winter,3.5,inland,Snowy
11.0,67,13.5,43.0,partly cloudy,1006.64,2,Summer,7.5,coastal,Cloudy
-9.0,86,2.0,69.0,overcast,995.02,1,Winter,4.0,mountain,Snowy
10.0,63,6.5,19.0,overcast,1007.34,1,Winter,5.5,mountain,Cloudy
19.0,68,7.0,48.0,partly cloudy,1010.43,1,Spring,6.5,inland,Cloudy
12.0,97,5.5,86.0,overcast,1005.53,3,Winter,3.0,mountain,Rainy
1.0,68,17.0,54.0,overcast,991.29,0,Winter,5.0,inland,Snowy
27.0,53,13.5,17.0,overcast,1011.09,4,Autumn,8.0,mountain,Cloudy
1.0,64,6.5,72.0,overcast,992.48,1,Winter,2.5,inland,Snowy
-5.0,84,5.0,88.0,overcast,988.42,0,Winter,2.0,inland,Snowy
34.0,79,8.5,10.0,overcast,1006.28,4,Spring,7.5,coastal,Cloudy
0.0,64,8.5,75.0,overcast,988.73,0,Winter,2.0,mountain,Snowy
30.0,60,6.5,75.0,overcast,998.88,1,Autumn,4.0,coastal,Rainy
28.0,76,10.5,45.0,overcast,1006.61,4,Winter,6.0,inland,Cloudy
-1.0,88,3.0,82.0,overcast,985.51,1,Winter,3.0,mountain,Snowy
32.0,73,5.5,73.0,partly cloudy,1005.24,2,Winter,2.5,inland,Rainy
15.0,73,11.0,32.0,partly cloudy,1000.13,4,Spring,6.5,inland,Cloudy
-4.0,93,7.0,53.0,overcast,998.36,0,Winter,5.0,mountain,Snowy
-17.0,95,32.0,97.0,overcast,987.38,13,Winter,2.0,inland,Snowy
-2.0,90,6.0,94.0,overcast,990.21,0,Winter,3.5,inland,Snowy
22.0,35,3.5,0.0,clear,1012.04,6,Spring,6.5,coastal,Sunny
30.0,61,7.0,8.0,partly cloudy,1010.54,5,Spring,8.5,inland,Sunny
4.0,64,0.5,63.0,overcast,985.7,1,Winter,3.5,mountain,Snowy
33.0,52,11.5,28.0,overcast,1003.64,4,Winter,7.0,mountain,Cloudy
2.0,91,4.5,50.0,overcast,992.8,0,Winter,3.5,inland,Snowy
16.0,79,11.0,25.0,partly cloudy,1000.39,1,Summer,6.0,mountain,Cloudy
39.0,79,11.5,100.0,overcast,1005.63,9,Winter,9.0,mountain,Cloudy
28.0,99,11.0,82.0,partly cloudy,1008.11,3,Autumn,4.5,coastal,Rainy
-10.0,88,13.5,61.0,overcast,987.5,1,Winter,4.0,inland,Snowy
28.0,79,10.0,41.0,partly cloudy,1008.49,1,Summer,8.0,coastal,Cloudy
-6.0,94,17.0,88.0,partly cloudy,989.75,1,Winter,2.0,inland,Snowy
28.0,46,6.5,4.0,clear,1011.76,9,Autumn,10.0,inland,Sunny
16.0,77,9.5,17.0,partly cloudy,1008.07,3,Summer,9.0,inland,Cloudy
4.0,91,1.5,97.0,overcast,986.56,0,Winter,4.5,inland,Snowy
32.0,88,14.5,96.0,overcast,1008.32,2,Autumn,4.5,mountain,Rainy
25.0,81,32.5,86.0,partly cloudy,1009.6,7,Spring,7.5,inland,Cloudy
13.0,72,11.5,28.0,partly cloudy,1011.34,3,Spring,6.5,mountain,Cloudy
19.0,70,8.0,31.0,partly cloudy,1009.02,3,Winter,9.0,mountain,Cloudy
34.0,77,18.5,98.0,partly cloudy,1006.36,1,Winter,4.5,inland,Rainy
31.0,69,19.0,70.0,overcast,1009.09,0,Autumn,3.5,inland,Rainy
17.0,65,15.0,60.0,partly cloudy,1001.27,3,Autumn,4.0,mountain,Rainy
-1.0,78,19.0,69.0,overcast,986.34,0,Winter,4.0,inland,Snowy
16.0,82,5.5,82.0,partly cloudy,1012.96,1,Winter,1.5,inland,Rainy
1.0,95,0.0,60.0,overcast,992.38,1,Winter,2.0,inland,Snowy
13.0,93,8.0,64.0,partly cloudy,990.97,0,Spring,1.5,inland,Rainy
47.0,82,25.5,96.0,overcast,1006.85,5,Summer,1.0,coastal,Rainy
4.0,86,15.5,58.0,overcast,982.97,1,Winter,1.0,inland,Snowy
-8.0,86,12.0,57.0,overcast,992.13,1,Winter,2.5,inland,Snowy
20.0,99,15.0,98.0,overcast,994.3,2,Autumn,2.5,inland,Rainy
10.0,60,10.5,88.0,partly cloudy,999.02,0,Autumn,4.5,coastal,Rainy
1.0,77,5.0,55.0,overcast,993.03,0,Winter,3.0,inland,Snowy
-3.0,93,17.0,97.0,overcast,985.44,1,Winter,2.5,mountain,Snowy
29.0,82,18.0,78.0,overcast,991.54,3,Spring,4.0,inland,Rainy
26.0,73,0.5,24.0,partly cloudy,1006.51,1,Winter,5.5,inland,Cloudy
37.0,84,8.5,88.0,partly cloudy,1010.08,2,Summer,9.5,coastal,Cloudy
0.0,76,14.5,95.0,overcast,996.54,1,Winter,2.0,mountain,Snowy
33.0,26,0.0,10.0,clear,1011.23,6,Winter,6.5,coastal,Sunny
19.0,71,13.0,73.0,overcast,998.55,2,Summer,1.0,inland,Rainy
25.0,53,0.5,37.0,partly cloudy,1002.8,1,Summer,8.0,coastal,Cloudy
2.0,81,20.0,89.0,overcast,991.62,7,Winter,0.5,inland,Snowy
-6.0,69,18.0,84.0,partly cloudy,998.21,1,Winter,5.0,mountain,Snowy
-2.0,77,2.0,89.0,overcast,984.39,0,Winter,2.0,mountain,Snowy
27.0,66,9.5,64.0,overcast,998.2,2,Autumn,3.0,coastal,Rainy
2.0,73,6.0,58.0,overcast,985.32,0,Winter,2.5,mountain,Snowy
12.0,65,12.5,29.0,overcast,1006.37,3,Spring,7.5,inland,Cloudy
23.0,62,8.0,91.0,overcast,1004.57,2,Summer,5.0,mountain,Rainy
1.0,83,9.5,56.0,overcast,993.81,0,Winter,2.5,mountain,Snowy
-6.0,90,6.5,81.0,overcast,992.62,1,Winter,4.5,inland,Snowy
33.0,77,6.5,96.0,partly cloudy,1001.42,2,Summer,4.5,mountain,Rainy
10.0,69,10.5,10.0,partly cloudy,1007.75,1,Summer,7.0,coastal,Cloudy
33.0,97,21.0,91.0,overcast,1007.46,6,Summer,3.5,mountain,Rainy
19.0,82,10.0,53.0,overcast,1007.78,1,Spring,4.0,mountain,Rainy
29.0,93,20.0,94.0,overcast,1001.26,3,Spring,3.5,inland,Rainy
1.0,67,8.5,66.0,overcast,981.11,1,Winter,3.0,inland,Snowy
13.0,80,15.5,59.0,overcast,1012.06,0,Autumn,3.5,mountain,Rainy
28.0,33,9.5,2.0,clear,1012.55,8,Winter,9.5,inland,Sunny
13.0,89,8.0,75.0,partly cloudy,992.43,1,Winter,2.5,inland,Rainy
3.0,87,10.0,87.0,overcast,998.29,0,Winter,1.0,inland,Snowy
-3.0,65,13.0,61.0,overcast,992.6,0,Winter,5.0,inland,Snowy
1.0,74,6.5,75.0,overcast,989.06,14,Winter,3.0,inland,Snowy
20.0,90,14.5,66.0,partly cloudy,994.38,2,Summer,2.5,inland,Rainy
22.0,26,2.0,14.0,partly cloudy,1010.77,10,Spring,5.5,coastal,Sunny
28.0,66,12.5,39.0,overcast,1000.61,1,Winter,6.5,coastal,Cloudy
11.0,67,8.0,17.0,partly cloudy,1005.72,4,Summer,6.0,inland,Cloudy
44.0,58,3.5,99.0,partly cloudy,994.28,0,Winter,18.5,inland,Snowy
1.0,70,5.0,73.0,overcast,989.16,1,Winter,2.0,inland,Snowy
-5.0,94,26.5,80.0,overcast,992.67,14,Winter,4.5,inland,Snowy
1.0,96,17.5,70.0,overcast,988.72,7,Winter,1.5,mountain,Snowy
18.0,71,14.5,19.0,overcast,1012.02,1,Summer,5.5,inland,Cloudy
